ID,N,E,turb,dhl,ec_f,tds,tds_f,twat,tair,ph,ph_f,q,hard,ca ,mg ,fe ,mn ,k,na ,li ,nh,co,hco,cl,so,no2,no3,sio,b,al,as,f 
Cigoong,9202999.0000,794880.0000,0.2,277,39.3,188,134,21,26.7,6.12,6.24,1.5,122.5,26.4,13.5,0.06,0.14,0.3,10,0,0,0,51.5,13.5,22.1,0,90.1,0,0,0,0,0
Ciseupan,9203650.3422,792131.0000,0.6,139,-46,96,62,20,27.3,6.63,7.9,5,63.3,13.6,7,0.03,0.14,0.2,8.1,0,0,0,75.8,7.6,9.8,0,0,0,0,0,0,0
Bedil,9203650.3422,792131.4396,0,127,-46,0,62,20,27.3,5.48,7.9,5,0,4.31,4.41,0.01,0,5.49,6.88,0.009,0.39,0.009,50.2,1,5.11,0,0,65.97,0.13,0.009,0.009,0.009
Cikoleberes,9202152.0000,793271.0000,0.3,233,13.1,158,114,20.9,17.4,6.51,6.71,9.26,107.9,18.7,14.7,0.03,0.13,0.4,15.6,0,0,0,118.2,11.8,26,0,0,0,0,0,0,0
Ciblegblegan,9201330.0000,793353.0000,0.9,136,-34.7,94,65,18,22.5,6.46,7.5,0.76,65.4,13.6,7.5,0.03,0.1,0.3,7.1,0,0,0,64,8,17.8,0,5.9,0,0,0,0,0
Citawa,9199991.0000,791649.0000,0.8,176,51.9,122,85,19.9,18.4,5.97,6.19,0.09,82.8,18.1,9,0.03,0.1,0.5,9.3,0,0,0,83.4,9.7,30.3,0,0,0,0,0,0,0
Situ Kince,9203791.9968,788842.5869,0,193,-88.8,0,106,21.8,20,7.85,6.82,1,0,6.76,6.78,0.01,0,4.65,8.59,0.009,0.45,0.009,51.27,1,30,0,0,73.38,0.26,0.02,0.009,0.09
